"","poisonous","capShape","capSurface","capColor","bruisesTrueFalse","odor","gillAttachment","gillSpacing","gillSize","gillColor","stalkShape","stalkRoot","stalkSurfaceAboveRing","stalkSurfaceBelowRing","stalkColorAboveRing","stalkColorBelowRing","veilType","veilColor","ringNumber","ringType","sporePrintColor","population","habitat"
"110",0,"convex","smooth","yellow",1,"almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows"
"111",0,"convex","smooth","yellow",1,"anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses"
"112",0,"sunken","fibrous","gray",0,"none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","solitary","urban"
"113",0,"convex","fibrous","white",1,"almond","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods"
"114",0,"convex","smooth","yellow",1,"almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows"
"115",1,"convex","scaly","white",1,"pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban"
"116",0,"convex","scaly","yellow",1,"anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"117",0,"sunken","fibrous","gray",0,"none","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban"
"118",0,"convex","scaly","yellow",1,"anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","grasses"
"119",0,"convex","smooth","yellow",1,"anise","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods"
"120",0,"sunken","fibrous","brown",0,"none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban"
"121",1,"convex","smooth","white",1,"pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","grasses"
"122",0,"convex","scaly","white",1,"almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows"
"123",1,"flat","scaly","brown",1,"pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","grasses"
"124",0,"flat","smooth","gray",0,"none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"125",0,"convex","smooth","yellow",1,"anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows"
"126",0,"convex","smooth","white",0,"none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"127",0,"bell","smooth","yellow",1,"almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses"
"128",0,"flat","fibrous","gray",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"129",0,"convex","smooth","white",1,"anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses"
"130",0,"bell","smooth","white",1,"anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows"
"131",0,"bell","smooth","white",1,"anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"132",0,"bell","scaly","white",1,"anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows"
"133",0,"flat","smooth","white",1,"anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods"
"134",0,"convex","scaly","yellow",1,"anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows"
"135",0,"flat","smooth","white",1,"almond","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods"
"136",1,"convex","scaly","white",1,"pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban"
"137",0,"flat","fibrous","white",1,"anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods"
"138",0,"convex","scaly","yellow",1,"almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"139",1,"convex","smooth","brown",1,"pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses"
"140",0,"bell","smooth","yellow",1,"anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses"
"141",0,"convex","scaly","brown",1,"almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","paths"
"142",0,"bell","scaly","yellow",1,"anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows"
"143",0,"sunken","fibrous","brown",0,"none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban"
"144",0,"flat","scaly","brown",1,"almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","paths"
"145",0,"convex","scaly","yellow",1,"almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses"
"146",0,"convex","fibrous","gray",0,"none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"147",0,"flat","fibrous","white",0,"none","free","crowded","broad","black","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"148",0,"convex","scaly","yellow",1,"anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows"
"149",0,"bell","smooth","yellow",1,"anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses"
"150",0,"bell","scaly","white",1,"almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows"
"151",0,"convex","scaly","white",1,"almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"152",0,"convex","smooth","brown",0,"none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"153",0,"convex","scaly","white",1,"anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"154",0,"sunken","fibrous","brown",0,"none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban"
"155",0,"convex","smooth","white",1,"almond","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods"
"156",0,"convex","scaly","brown",1,"anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","grasses"
"157",0,"bell","scaly","yellow",1,"almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses"
"158",0,"convex","scaly","white",1,"almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses"
"159",0,"bell","scaly","white",1,"almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows"
"160",0,"bell","smooth","yellow",1,"almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"161",0,"bell","smooth","yellow",1,"anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows"
"162",0,"bell","scaly","yellow",1,"almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses"
"163",0,"convex","fibrous","brown",0,"none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban"
"164",0,"flat","scaly","brown",1,"anise","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","grasses"
"165",0,"convex","scaly","white",1,"almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"166",0,"flat","scaly","yellow",1,"anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","paths"
"167",0,"bell","smooth","white",1,"almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"168",0,"bell","smooth","white",1,"almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows"
"169",0,"convex","scaly","brown",1,"anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","grasses"
"170",0,"bell","smooth","white",1,"almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"171",0,"convex","fibrous","gray",0,"none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban"
"172",0,"bell","smooth","yellow",1,"anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"173",0,"convex","fibrous","yellow",1,"anise","free","crowded","narrow","brown","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods"
"174",0,"bell","scaly","yellow",1,"almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"175",0,"flat","scaly","yellow",1,"anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"176",0,"bell","scaly","white",1,"anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows"
"177",0,"bell","scaly","white",1,"almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows"
"178",0,"bell","scaly","yellow",1,"almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"179",0,"convex","scaly","yellow",1,"anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows"
"180",0,"bell","smooth","yellow",1,"anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses"
"181",1,"convex","scaly","white",1,"pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban"
"182",0,"sunken","fibrous","brown",0,"none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban"
